part_number,description,color_code,color_name,quantity,image_file
3894,Technic Brick 1 x 6 with Holes,15,White,2,3894_White.png
3943,Cone 4 x 4 x 2 with Axlehole,8,Dark Gray,4,3943_Dark_Gray.png
4032,Plate 2 x 2 Round with Axlehole Type 1,8,Dark Gray,18,4032_Dark_Gray.png
4032,Plate 2 x 2 Round with Axlehole Type 2,1,Blue,2,4032_Blue.png
4032,Plate 2 x 2 Round with Axlehole Type 2,15,White,5,4032_White.png
4079,Minifig Seat 2 x 2,6,Brown,7,4079_Brown.png
4083,Bar 1 x 4 x 2 with Studs,4,Red,12,4083_Red.png
4162,Tile 1 x 8,1,Blue,19,4162_Blue.png
4162,Tile 1 x 8,4,Red,67,4162_Red.png
4162,Tile 1 x 8,7,Light Gray,83,4162_Light_Gray.png
4162,Tile 1 x 8,14,Yellow,96,4162_Yellow.png
4162,Tile 1 x 8,15,White,98,4162_White.png
41677,Technic Beam 2 x 0.5 Liftarm,7,Light Gray,2,41677_Light_Gray.png
41769,Wing 2 x 4 Right,14,Yellow,3,41769_Yellow.png
41770,Wing 2 x 4 Left,14,Yellow,3,41770_Yellow.png
4185,Technic Wedge Belt Wheel,7,Light Gray,1,4185_Light_Gray.png
4274,Technic Pin 1/2,7,Light Gray,16,4274_Light_Gray.png
4286,Slope Brick 33 3 x 1,1,Blue,14,4286_Blue.png
4286,Slope Brick 33 3 x 1,15,White,4,4286_White.png
4287,Slope Brick 33 3 x 1 Inverted,1,Blue,22,4287_Blue.png
4287,Slope Brick 33 3 x 1 Inverted,15,White,4,4287_White.png
4287,Slope Brick 33 3 x 1 Inverted with Notch and Thick Front,4,Red,6,4287_Red.png
43093,Technic Axle Pin with Friction,1,Blue,2,43093_Blue.png
44294,Technic Axle 7,7,Light Gray,2,44294_Light_Gray.png
44301,Hinge Plate 1 x 2 Locking without Groove with Single Finger on End Vertical,4,Red,8,44301_Red.png
44302,Hinge Plate 1 x 2 Locking with Dual Finger on End Vertical without Groove on Short Side,7,Light Gray,2,44302_Light_Gray.png
44567,Hinge Plate 1 x 2 Locking with Single Finger On Side Vertical,7,Light Gray,2,44567_Light_Gray.png
44728,Bracket 1 x 2 - 2 x 2,4,Red,8,44728_Red.png
