Part,Description,Color ID,Color Name,Couleur RGB,Quantity,BrickLink URL,Found
10928,Technic Gear 8 Tooth,8,Dark Grey Reinforced,#6D6E68,1,https://davidlilien.github.io/images_giant_booster/image-001-000_1753130822.jpg,0
11458,Plate 1 x 2 with Offset Peghole,8,Dark Grey,#6D6E68,2,https://davidlilien.github.io/images_giant_booster/image-001-001_1753130822.jpg,0
11458,Plate 1 x 2 with Offset Peghole,15,White,#FFFFFF,4,https://davidlilien.github.io/images_giant_booster/image-001-002_1753130822.jpg,0
14769,Tile 2 x 2 Round with Round Underside Stud,15,White,#FFFFFF,1,https://davidlilien.github.io/images_giant_booster/image-001-003_1753130822.jpg,0
15462,Technic Axle 5 with Stop,6,Brown,#582A12,1,https://davidlilien.github.io/images_giant_booster/image-001-004_1753130822.jpg,0
2412b,Tile 1 x 2 Grille with Groove,4,Red,#B40000,8,https://davidlilien.github.io/images_giant_booster/image-001-005_1753130822.jpg,0
2412b,Tile 1 x 2 Grille with Groove,15,White,#FFFFFF,10,https://davidlilien.github.io/images_giant_booster/image-001-006_1753130822.jpg,0
2420,Plate 2 x 2 Corner,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-001-007_1753130822.jpg,0
2429,Hinge Plate 1 x 4 Base,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-001-008_1753130822.jpg,0
2429,Hinge Plate 1 x 4 Base,14,Yellow,#FAC80A,4,https://davidlilien.github.io/images_giant_booster/image-001-009_1753130822.jpg,0
2430,Hinge Plate 1 x 4 Top,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-001-010_1753130822.jpg,0
2430,Hinge Plate 1 x 4 Top,14,Yellow,#FAC80A,4,https://davidlilien.github.io/images_giant_booster/image-001-011_1753130822.jpg,0
2431,Tile 1 x 4 with Groove,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-001-012_1753130822.jpg,0
2431,Tile 1 x 4 with Groove,14,Yellow,#FAC80A,5,https://davidlilien.github.io/images_giant_booster/image-001-013_1753130822.jpg,0
2431,Tile 1 x 4 with Groove,26,Magenta,#901F76,1,https://davidlilien.github.io/images_giant_booster/image-001-014_1753130822.jpg,0
24316,Technic Axle 3 with Stop,6,Brown,#582A12,2,https://davidlilien.github.io/images_giant_booster/image-001-015_1753130822.jpg,0
2436a,Bracket 1 x 2 - 1 x 4 with Square Corners,4,Red,#B40000,1,https://davidlilien.github.io/images_giant_booster/image-001-016_1753130822.jpg,0
2436a,Bracket 1 x 2 - 1 x 4 with Square Corners,7,Light Grey,#A0A5A9,1,https://davidlilien.github.io/images_giant_booster/image-001-017_1753130822.jpg,0
